,Depth,VP,VS
174,1694.459,4445.7305,2683.4417
175,1701.75,4349.053,2677.894
176,1707.919,4304.8308,2718.6782
177,1712.964,4292.6437,2694.8295
178,1717.447,4275.7532,2626.353
179,1721.788,4254.3772,2571.1405
180,1728.368,4271.1925,2566.6728
181,1737.634,4460.332,2666.6283
182,1743.544,4600.6948,2773.1595
183,1750.86,4507.1115,2732.459
184,1754.243,4467.3418,2672.095
185,1761.04,4686.107,2709.9158
186,1769.568,4724.6043,2735.0715
187,1773.552,4648.7793,2757.0715
188,1778.956,4613.4005,2788.6273
189,1784.503,4648.87,2788.6118
190,1793.199,4700.5395,2779.003
191,1796.915,4714.8638,2802.8283
192,1800.777,4712.4952,2853.0932
193,1808.516,4744.0285,2907.5187
194,1815.535,4767.9482,2938.1117
195,1819.26,4809.3347,2925.7852
196,1827.572,4888.5345,2888.1223
197,1834.308,4953.411,2877.639
198,1837.892,4986.0418,2887.711
199,1844.055,4976.7645,2931.5068
200,1850.645,5025.3763,2977.8515
201,1854.946,5091.8713,2987.5045
202,1859.259,5064.0202,2973.6775
203,1864.876,4991.2682,2977.8472
204,1870.076,5009.0995,3005.9688
205,1874.127,5058.128,3041.1562
206,1880.793,5064.7677,3059.11
207,1887.465,5083.3965,3040.655
208,1891.528,5115.781,3025.5577
209,1895.158,5120.121,3020.1382
210,1899.806,5052.6017,3007.7695
211,1905.326,4984.3022,2976.4207
212,1908.673,4988.0453,2944.7165
213,1913.044,5030.876,2935.3353
214,1920.926,4893.8233,2963.7585
215,1928.089,4852.3593,2943.3427
216,1932.92,4962.3205,2899.7945
217,1943.639,4984.8825,2927.8062
218,1947.325,4986.1123,2940.5183
219,1951.903,4979.109,2938.506
220,1956.048,4955.609,2947.6912
221,1961.54,4893.1457,2956.7998
222,1966.594,4931.5023,2937.8695
223,1975.391,5077.0968,2944.8202
224,1982.102,5090.5297,2966.2593
225,1991.072,5106.9198,2957.9968
226,1996.912,5078.3768,2943.9653
227,2000.363,5045.221,2953.4198
228,2005.014,4968.9302,2983.5642
229,2011.32,4749.536,2941.3955
230,2021.845,4704.3188,2908.3227
231,2026.807,4699.0458,2900.3252
232,2031.62,4668.035,2868.8958
233,2036.585,4672.1498,2851.6793
234,2041.855,4675.4693,2855.8312
235,2049.539,4597.355,2815.26
236,2059.339,4462.7713,2703.4465
237,2062.804,4341.1075,2612.2877
238,2067.931,4280.333,2572.7168
239,2073.813,4331.5127,2607.7677
240,2078.489,4431.402,2680.5338
241,2087.389,4520.4062,2778.6765
242,2095.238,4512.611,2777.9545
243,2099.615,4423.618,2712.847
244,2108.527,4380.5865,2688.3678
245,2114.873,4547.479,2791.4347
246,2123.34,4675.1007,2877.908
247,2128.028,4585.2437,2811.808
248,2134.234,4491.8285,2732.12
249,2142.863,4527.6845,2749.062
250,2150.888,4468.4623,2717.378
251,2156.795,4457.4183,2715.4795
252,2163.614,4557.413,2772.1943
253,2168.612,4625.7028,2805.7815
254,2173.767,4639.5747,2795.6327
255,2179.222,4669.1945,2785.2195
256,2182.865,4713.8623,2784.8293
257,2186.504,4740.2437,2768.096
258,2193.027,4698.6425,2725.7157
259,2198.791,4690.0422,2719.3837
260,2203.494,4730.7837,2746.8488
261,2208.654,4762.7767,2773.339
262,2212.75,4637.4263,2716.861
263,2222.312,4464.8065,2625.0783
264,2229.895,4609.6827,2709.734
265,2236.415,4785.2695,2818.5298
266,2240.054,4867.8105,2872.8347
267,2245.056,4914.7887,2888.6517
268,2250.204,4908.0037,2855.885
269,2256.264,4891.2483,2834.1242
270,2264.137,4988.5825,2861.2353
271,2271.409,4807.4585,2681.1132
272,2277.469,4554.287,2527.5775
273,2282.772,4521.3627,2524.68
274,2286.863,4584.9915,2572.2258
275,2290.956,4599.1807,2595.2108
276,2294.595,4617.6753,2669.635
277,2303.694,4739.9783,2796.4182
278,2307.336,4868.5382,2861.9637
279,2315.834,4935.5045,2868.8558
280,2319.93,4939.5588,2868.7988
281,2327.672,4910.2797,2856.335
282,2331.619,4689.5015,2665.7908
283,2344.988,4191.4183,2323.333
284,2348.789,4085.195,2260.7908
285,2352.437,4195.6488,2318.4138
286,2358.518,4495.0082,2471.2607
287,2363.081,4744.4915,2595.9037
288,2369.625,4819.0265,2646.1947
289,2375.712,4775.2585,2656.8645
290,2381.189,4775.024,2685.5882
291,2384.996,4777.265,2675.3425
292,2392.15,4790.6952,2637.666
293,2399.611,4885.6533,2667.3925
294,2405.095,4970.454,2696.7843
295,2409.054,5008.8755,2696.4382
296,2413.928,5000.4098,2693.0453
297,2420.627,4969.407,2713.7497
298,2426.418,4944.268,2714.7865
299,2433.575,4988.9175,2722.7175
300,2440.433,5078.7658,2787.4982
301,2444.85,5120.0095,2851.1732
302,2448.812,5095.5295,2879.098
303,2454.295,4975.2188,2820.3697
304,2461.912,4746.4042,2686.8695
305,2469.682,4618.0605,2618.3475
306,2474.098,4585.0095,2633.279
307,2480.953,4569.0017,2680.5177
308,2484.608,4532.644,2732.0798
309,2495.117,4468.8645,2718.156
310,2500.902,4462.558,2683.2238
311,2507.602,4522.1298,2669.8587
312,2515.517,4535.3287,2629.2405
313,2519.474,4533.0265,2575.0665
314,2525.862,4697.7715,2612.2507
315,2530.879,5024.1933,2750.679
316,7550.0,4600.0,2729.0
317,18870.0,6450.0,3800.0
318,34150.0,7000.0,4142.0
