,time,lat,lon,depth,xx,yy
57,2018-10-15T16:23:13.727700Z,53.788656,-2.961812,1.58125,336731.333259,432911.362545
58,2018-10-15T16:58:49.865100Z,53.788196,-2.963111,2.079688,336645.060448,432861.345506
59,2018-10-16T01:06:52.150500Z,53.788158,-2.965773,2.169922,336469.627779,432859.500495
60,2018-10-16T06:28:40.401500Z,53.78881,-2.955839,1.426562,337125.066904,432923.180733
61,2018-10-16T09:24:22.391600Z,53.788963,-2.948828,0.996875,337587.179678,432934.006251
62,2018-10-16T09:24:22.545100Z,53.78858,-2.959345,1.744531,336893.745627,432900.707868
63,2018-10-16T09:24:26.477400Z,53.789884,-2.945191,0.48125,337828.149135,433033.275855
64,2018-10-16T09:24:26.969500Z,53.788426,-2.960644,1.864844,336807.93513,432884.731911
65,2018-10-16T09:24:29.353400Z,53.802617,-2.942321,0.017188,338036.027228,434447.377678
66,2018-10-16T10:54:18.240500Z,53.788158,-2.963825,2.092578,336597.964027,432857.756249
67,2018-10-16T11:11:07.733100Z,53.788426,-2.9635,2.122656,336619.78006,432887.28195
68,2018-10-16T11:12:32.206100Z,53.797247,-2.965963,2.40625,336470.871179,433870.868842
69,2018-10-16T12:15:51.172700Z,53.78344,-2.974798,2.371875,335867.84401,432342.72668
70,2018-10-16T12:21:00.131900Z,53.787582,-2.96415,2.045313,336575.682314,432793.964086
71,2018-10-16T12:21:55.230700Z,53.787122,-2.960255,1.615625,336831.600224,432739.308502
72,2018-10-16T12:49:06.684900Z,53.78881,-2.973498,2.698438,335961.69181,432938.990414
73,2018-10-16T13:33:15.352700Z,53.78858,-2.968953,2.552344,336260.767,432909.305071
74,2018-10-16T13:34:05.238900Z,53.788465,-2.963695,2.083984,336606.992244,432891.795284
75,2018-10-16T13:34:59.569000Z,53.790881,-2.9622,2.294531,336709.127129,433159.251621
76,2018-10-16T13:35:10.995700Z,53.793872,-2.971678,2.234375,336089.302438,433500.52078
77,2018-10-16T13:36:00.165200Z,53.788311,-2.963565,2.092578,336615.324151,432874.545739
78,2018-10-16T13:36:09.676300Z,53.788119,-2.9635,2.139844,336619.316472,432853.126637
79,2018-10-16T13:36:21.024300Z,53.79019,-2.963369,2.990625,336631.073839,433083.418834
80,2018-10-16T13:36:29.973500Z,53.793105,-2.968302,2.526563,336310.522401,433412.149136
81,2018-10-16T13:36:53.188200Z,53.788158,-2.963565,2.066797,336615.093097,432857.52371
82,2018-10-16T13:37:01.140600Z,53.78881,-2.970901,2.629688,336132.782082,432936.647234
83,2018-10-16T13:37:18.020200Z,53.786355,-2.971421,2.526563,336094.786863,432663.984885
84,2018-10-16T13:37:26.251900Z,53.788081,-2.963176,2.144141,336640.604586,432848.609272
85,2018-10-16T13:37:41.781900Z,53.785742,-2.975576,2.423438,335820.102413,432599.53963
86,2018-10-16T13:38:06.521700Z,53.789347,-2.966096,2.174219,336450.148516,432992.072334
87,2018-10-16T13:38:42.074400Z,53.790037,-2.964668,1.907813,336545.267186,433067.558964
88,2018-10-16T13:38:59.398500Z,53.788119,-2.9635,2.157031,336619.316472,432853.126637
89,2018-10-16T13:39:05.726600Z,53.787276,-2.97194,2.526563,336061.996081,432766.918761
90,2018-10-16T13:39:10.672500Z,53.789423,-2.971939,2.526563,336065.332455,433005.782363
91,2018-10-16T13:39:18.707400Z,53.78858,-2.961942,2.036719,336722.654245,432903.023206
92,2018-10-16T13:39:30.418200Z,53.788273,-2.9635,2.088281,336619.549021,432870.259921
93,2018-10-16T13:39:33.017100Z,53.787582,-2.959995,2.010938,336849.421814,432790.254172
94,2018-10-16T13:39:44.225700Z,53.787813,-2.966876,2.277344,336396.438218,432822.106694
95,2018-10-16T13:39:49.700000Z,53.790037,-2.964668,1.907813,336545.267186,433067.558964
96,2018-10-16T13:39:53.224600Z,53.78835,-2.965448,1.821875,336491.32963,432880.570218
97,2018-10-16T13:40:01.479800Z,53.788119,-2.964279,2.139844,336567.995097,432853.823499
98,2018-10-16T13:40:31.715500Z,53.789193,-2.964019,2.174219,336586.746867,432973.078821
99,2018-10-16T13:40:33.946900Z,53.797401,-2.956352,2.354688,337104.147929,433879.429771
100,2018-10-16T13:40:34.159500Z,53.776384,-2.951436,2.26875,337396.609142,431536.827956
101,2018-10-16T13:40:40.018000Z,53.790651,-2.963629,2.251563,336614.641847,433134.939934
102,2018-10-16T13:40:40.499300Z,53.790958,-2.971419,2.526563,336101.926586,433176.089937
103,2018-10-16T13:40:42.945900Z,53.786892,-2.962982,2.260156,336651.591054,432716.153581
104,2018-10-16T13:40:46.362400Z,53.788119,-2.9635,2.071094,336619.316472,432853.126637
105,2018-10-16T13:40:57.239200Z,53.788273,-2.96376,2.105469,336602.419998,432870.492443
106,2018-10-16T13:41:03.608800Z,53.791264,-2.969861,2.285938,336205.027488,433208.730552
107,2018-10-16T13:41:08.162000Z,53.787122,-2.971681,2.509375,336078.825095,432749.551895
108,2018-10-16T13:41:25.055600Z,53.787736,-2.963371,2.096875,336627.236861,432810.400595
109,2018-10-16T13:41:35.052300Z,53.798475,-2.96804,2.26875,336335.929208,434009.354064
110,2018-10-16T13:41:40.214300Z,53.788196,-2.96415,2.114063,336576.610111,432862.274703
111,2018-10-16T13:41:47.260000Z,53.78835,-2.96337,2.096875,336628.229791,432878.710325
112,2018-10-16T13:41:48.284200Z,53.788119,-2.964799,2.191406,336533.736929,432854.288984
113,2018-10-16T13:41:48.603200Z,53.79019,-2.960253,1.546875,336836.349263,433080.637458
114,2018-10-16T13:41:53.366800Z,53.789193,-2.967914,2.139844,336330.146596,432976.570598
115,2018-10-16T13:41:59.863100Z,53.788196,-2.96363,2.114063,336610.868219,432861.809532
116,2018-10-16T13:42:06.115400Z,53.788119,-2.962981,2.071094,336653.508764,432852.662673
117,2018-10-16T13:42:10.432900Z,53.788119,-2.966357,2.225781,336431.094195,432855.685149
118,2018-10-16T13:42:17.566200Z,53.788119,-2.964539,2.157031,336550.866013,432854.05621
119,2018-10-16T13:42:22.786500Z,53.788158,-2.963435,2.083984,336623.657632,432857.407464
120,2018-10-16T13:42:26.618900Z,53.79556,-2.955315,2.423438,337169.694893,433673.688914
121,2018-10-16T13:42:33.262400Z,53.787276,-2.96415,2.114063,336575.21993,432759.920035
122,2018-10-16T13:42:47.660300Z,53.788119,-2.966616,2.225781,336414.030994,432855.917465
123,2018-10-16T13:42:57.245000Z,53.78858,-2.964279,2.294531,336568.691798,432905.112093
124,2018-10-16T13:43:00.015700Z,53.787199,-2.972849,2.500781,336001.991607,432759.172464
125,2018-10-16T13:43:03.393300Z,53.787582,-2.966227,2.079688,336438.845543,432795.824602
126,2018-10-16T13:43:08.165100Z,53.787046,-2.970252,2.552344,336172.85579,432739.80879
127,2018-10-16T13:43:13.350800Z,53.788733,-2.967915,2.277344,336329.3829,432925.394168
128,2018-10-16T13:43:16.538600Z,53.787813,-2.962981,2.208594,336653.046936,432818.618615
129,2018-10-16T13:43:21.716800Z,53.788273,-2.96402,2.088281,336585.290975,432870.725029
130,2018-10-16T13:43:34.511500Z,53.780986,-2.974798,2.303125,335864.095174,432069.707231
131,2018-10-16T13:43:36.387200Z,53.787889,-2.961553,1.942188,336747.240373,432825.798717
132,2018-10-16T13:43:39.714500Z,53.788119,-2.9635,2.346094,336619.316472,432853.126637
133,2018-10-16T13:43:43.223500Z,53.786355,-2.98025,2.217188,335513.098869,432671.98098
134,2018-10-16T13:43:45.674500Z,53.787889,-2.97194,2.492188,336062.929846,432835.118072
135,2018-10-16T13:43:55.821500Z,53.797401,-2.956352,2.354688,337104.147929,433879.429771
136,2018-10-16T13:43:57.985700Z,53.787966,-2.963241,1.985156,336636.148701,432835.873042
137,2018-10-16T13:44:15.589600Z,53.787966,-2.962981,2.002344,336653.27785,432835.640644
138,2018-10-16T13:44:16.137600Z,53.788119,-2.963241,2.019531,336636.379677,432852.895071
139,2018-10-16T13:44:22.269100Z,53.792185,-2.970899,2.285938,336138.049569,433312.131253
140,2018-10-16T13:44:24.504200Z,53.78858,-2.964019,2.139844,336585.820695,432904.879446
141,2018-10-16T13:44:29.467900Z,53.792798,-2.965705,1.873438,336481.130595,433375.663255
142,2018-10-16T13:44:35.989100Z,53.788119,-2.964799,2.036719,336533.736929,432854.288984
143,2018-10-16T13:44:37.438100Z,53.788119,-2.96376,2.105469,336602.187386,432853.35916
144,2018-10-16T13:44:39.712500Z,53.788158,-2.963435,2.075391,336623.657632,432857.407464
145,2018-10-16T13:44:40.989700Z,53.788158,-2.963825,2.101172,336597.964027,432857.756249
146,2018-10-16T13:44:46.721600Z,53.789423,-2.970901,2.664063,336133.714867,433004.846569
147,2018-10-16T13:44:51.898000Z,53.777611,-2.957665,2.26875,336987.96227,431678.856719
148,2018-10-16T13:44:56.443400Z,53.788273,-2.96402,2.071094,336585.290975,432870.725029
149,2018-10-16T13:45:04.228800Z,53.793412,-2.973496,2.251563,335968.845205,433450.984318
150,2018-10-16T13:45:08.501500Z,53.788081,-2.963046,2.144141,336649.169137,432848.493073
151,2018-10-16T13:45:10.120700Z,53.789347,-2.9635,1.950781,336621.170836,432989.747899
152,2018-10-16T13:45:15.835900Z,53.788158,-2.963435,1.972266,336623.657632,432857.407464
153,2018-10-16T13:45:16.795200Z,53.787736,-2.97168,2.509375,336079.826014,432817.86156
154,2018-10-16T13:45:21.774800Z,53.788081,-2.963046,2.152734,336649.169137,432848.493073
155,2018-10-16T13:45:23.273200Z,53.785435,-2.968306,2.698438,336298.618842,432558.826408
156,2018-10-16T13:45:25.183000Z,53.790574,-2.965576,1.864844,336486.262555,433128.116239
157,2018-10-16T13:45:26.243200Z,53.787813,-2.971031,2.517969,336122.70039,432825.843128
158,2018-10-16T13:45:30.550100Z,53.788733,-2.965577,2.225781,336483.410617,432923.296504
159,2018-10-16T13:45:34.563100Z,53.78858,-2.966876,2.208594,336397.60049,432907.439322
160,2018-10-16T13:45:39.133800Z,53.7951,-2.9696,2.990625,336228.050783,433635.270305
161,2018-10-16T13:45:39.918700Z,53.79694,-2.954015,2.371875,337257.388813,433826.069561
162,2018-10-16T13:45:42.728000Z,53.787276,-2.971421,2.526563,336096.189032,432766.450727
163,2018-10-16T13:45:48.673200Z,53.789193,-2.9635,1.950781,336620.938284,432972.614612
164,2018-10-16T13:45:53.572300Z,53.788119,-2.966097,2.225781,336448.223276,432855.452
165,2018-10-16T13:45:56.246200Z,53.788119,-2.964539,2.122656,336550.866013,432854.05621
166,2018-10-16T13:46:06.559000Z,53.788196,-2.973498,2.492188,335960.755012,432870.679847
167,2018-10-16T13:46:13.525400Z,53.78973,-2.967265,2.801563,336373.716404,433035.731782
168,2018-10-16T13:46:15.883600Z,53.786969,-2.970382,2.526563,336164.17393,432731.359225
169,2018-10-16T13:46:21.743700Z,53.788234,-2.963695,2.075391,336606.643349,432866.095358
