,time,lat,lon,depth,xx,yy
57,2018-10-22T12:27:03.988000Z,53.78858,-2.960644,1.830469,336808.166991,432901.8652
58,2018-10-22T02:12:24.248400Z,53.787966,-2.958826,1.778906,336927.014877,432831.935253
59,2018-10-23T18:10:26.444200Z,53.78858,-2.959345,1.727344,336893.745627,432900.707868
60,2018-10-24T11:14:49.941500Z,53.786355,-2.961035,1.632812,336779.056505,432654.671266
61,2018-10-24T12:48:55.903300Z,53.788656,-2.94727,0.06875,337689.364726,432898.480075
62,2018-10-24T12:53:51.304400Z,53.789577,-2.944672,2.234375,337861.885506,432998.66534
63,2018-10-24T13:16:32.669700Z,53.785742,-2.963112,1.632812,336641.290436,432588.326455
64,2018-10-24T13:50:29.774700Z,53.788656,-2.94727,0.20625,337689.364726,432898.480075
65,2018-10-24T13:55:45.666500Z,53.787046,-2.965319,1.744531,336497.855424,432735.378039
66,2018-10-24T14:33:07.860600Z,53.788273,-2.96376,2.088281,336602.419998,432870.492443
67,2018-10-24T14:34:27.536800Z,53.783057,-2.96584,1.727344,336457.492501,432292.048695
68,2018-10-24T14:37:35.077300Z,53.781139,-2.948056,2.010938,337626.414062,432062.86617
69,2018-10-24T14:41:30.847300Z,53.797247,-2.943106,2.26875,337976.389702,433850.62233
70,2018-10-25T10:00:33.340600Z,53.797094,-2.967261,2.423438,336385.144135,433855.011095
71,2018-10-25T10:00:33.645900Z,53.78881,-2.958436,1.667188,336953.976405,432925.487617
72,2018-10-25T11:45:06.469700Z,53.790651,-2.95428,2.320312,337230.527399,433126.619735
73,2018-10-25T11:46:44.808700Z,53.788733,-2.959345,1.761719,336893.975671,432917.729904
74,2018-10-25T11:47:22.566500Z,53.788196,-2.961033,1.907813,336781.961139,432859.490116
75,2018-10-25T11:49:41.522100Z,53.788119,-2.965318,2.208594,336499.544643,432854.753823
76,2018-10-25T12:06:05.808400Z,53.788388,-2.961358,1.903516,336760.839104,432881.141017
77,2018-10-25T12:35:23.811100Z,53.778992,-2.955847,1.667188,337109.832676,431830.88539
78,2018-10-25T12:40:53.363400Z,53.787582,-2.971421,2.526563,336096.654903,432800.494757
79,2018-10-25T12:51:40.295900Z,53.790727,-2.961681,1.658594,336743.08506,433141.655003
80,2018-10-25T13:38:29.872100Z,53.788503,-2.959994,1.804688,336850.873396,432892.719248
81,2018-10-25T13:43:51.451000Z,53.788119,-2.96376,2.105469,336602.187386,432853.35916
82,2018-10-25T13:49:19.103200Z,53.78858,-2.960384,1.967969,336825.295893,432901.63343
83,2018-10-25T15:22:37.869300Z,53.78858,-2.960644,1.916406,336808.166991,432901.8652
84,2018-10-25T15:42:04.371500Z,53.789423,-2.980249,1.873438,335517.878113,433013.310158
85,2018-10-25T15:44:30.738200Z,53.782827,-2.963374,1.821875,336619.627593,432264.252297
86,2018-10-25T16:01:59.398500Z,53.78881,-2.958436,1.667188,336953.976405,432925.487617
87,2018-10-25T16:26:05.045000Z,53.790651,-2.959474,2.457813,336888.361377,433131.232155
88,2018-10-25T16:31:02.768800Z,53.791878,-2.957395,3.007812,337027.16117,433265.893076
